iter	Passed	Remaining
785	24147	6574
786	24183	6545
787	24232	6519
788	24290	6495
789	24338	6469
790	24387	6443
791	24433	6416
792	24492	6393
793	24559	6371
794	24599	6343
795	24636	6313
796	24670	6283
797	24706	6253
798	24738	6223
799	24767	6191
800	24802	6161
801	24832	6130
802	24864	6100
803	24894	6068
804	24923	6037
805	24958	6007
806	24996	5978
807	25028	5947
808	25058	5916
809	25096	5886
810	25147	5860
811	25214	5837
812	25271	5812
813	25321	5785
814	25366	5758
815	25409	5729
816	25451	5700
817	25497	5672
818	25535	5643
819	25565	5611
820	25598	5581
821	25629	5549
822	25688	5524
823	25722	5494
824	25753	5462
825	25780	5430
826	25822	5401
827	25861	5372
828	25893	5341
829	25924	5309
830	25962	5280
831	26001	5250
832	26039	5220
833	26071	5189
834	26101	5157
835	26132	5126
836	26161	5094
837	26192	5063
838	26223	5032
839	26256	5001
840	26286	4969
841	26314	4937
842	26344	4906
843	26375	4875
844	26407	4843
845	26435	4812
846	26474	4782
847	26513	4752
848	26540	4720
849	26571	4689
850	26599	4657
851	26631	4626
852	26665	4595
853	26699	4564
854	26726	4532
855	26756	4501
856	26786	4469
857	26817	4438
858	26847	4406
859	26877	4375
860	26909	4344
861	26936	4312
862	26973	4282
863	27007	4251
864	27038	4219
865	27069	4188
866	27101	4157
867	27135	4126
868	27167	4095
869	27195	4063
870	27230	4033
871	27264	4002
872	27293	3970
873	27325	3939
874	27356	3908
875	27389	3877
876	27418	3845
877	27454	3814
878	27483	3783
879	27512	3751
880	27547	3720
881	27575	3689
882	27605	3657
883	27635	3626
884	27666	3595
885	27696	3563
886	27729	3532
887	27775	3503
888	27808	3472
889	27845	3441
890	27875	3410
891	27907	3378
892	27939	3347
893	27971	3316
894	28009	3286
895	28041	3254
896	28073	3223
897	28103	3192
898	28130	3160
899	28162	3129
900	28193	3097
901	28224	3066
902	28261	3035
903	28293	3004
904	28320	2972
905	28349	2941
906	28383	2910
907	28423	2879
908	28456	2848
909	28484	2817
910	28513	2785
911	28543	2754
912	28570	2722
913	28602	2691
914	28633	2659
915	28662	2628
916	28699	2597
917	28732	2566
918	28762	2535
919	28794	2503
920	28831	2473
921	28863	2441
922	28895	2410
923	28929	2379
924	28960	2348
925	28989	2316
926	29016	2285
927	29044	2253
928	29079	2222
929	29110	2191
930	29137	2159
931	29175	2128
932	29203	2097
933	29233	2065
934	29263	2034
935	29289	2002
936	29318	1971
937	29346	1939
938	29380	1908
939	29410	1877
940	29445	1846
941	29475	1814
942	29505	1783
943	29536	1752
944	29563	1720
945	29601	1689
946	29631	1658
947	29656	1626
948	29684	1595
949	29715	1563
950	29747	1532
951	29779	1501
952	29812	1470
953	29847	1439
954	29893	1408
955	29931	1377
956	29972	1346
957	30007	1315
958	30039	1284
959	30074	1253
960	30107	1221
961	30139	1190
962	30168	1159
963	30196	1127
964	30224	1096
965	30256	1064
966	30285	1033
967	30313	1002
968	30348	970
969	30377	939
970	30406	908
971	30437	876
972	30473	845
973	30505	814
974	30534	782
975	30568	751
976	30599	720
977	30632	689
978	30672	657
979	30709	626
980	30747	595
981	30784	564
982	30828	533
983	30867	501
984	30899	470
985	30930	439
986	30963	407
987	30988	376
988	31021	345
989	31051	313
990	31076	282
991	31104	250
992	31138	219
993	31170	188
994	31202	156
995	31235	125
996	31264	94
997	31293	62
998	31333	31
999	31365	0
